Gcar,Gtm,,Opp,PA,H,BA,OBP,SLG,OPS,Batting Order Position
983,1,@,TEX,4,0,0,0.25,0,0.25,3
984,2,@,TEX,4,2,0.333,0.375,0.333,0.708,3
985,3,@,TEX,5,4,0.545,0.538,0.545,1.084,3
986,4,@,TEX,5,3,0.563,0.556,0.625,1.181,3
987,5,,BAL,5,1,0.476,0.478,0.571,1.05,3
988,6,,BAL,4,1,0.44,0.444,0.52,0.964,3
989,7,,BAL,4,1,0.414,0.419,0.483,0.902,3
990,8,,SDP,4,1,0.406,0.429,0.469,0.897,3
991,9,,SDP,4,1,0.412,0.462,0.471,0.932,3
992,10,,SDP,4,0,0.368,0.419,0.421,0.84,3
993,11,@,MIN,4,1,0.357,0.404,0.405,0.809,3
994,12,@,MIN,4,2,0.37,0.412,0.413,0.825,3
995,13,@,MIN,5,1,0.353,0.393,0.392,0.785,3
996,14,,TEX,4,1,0.352,0.4,0.389,0.789,3
997,15,,TEX,5,1,0.351,0.415,0.386,0.801,3
998,16,,TEX,4,1,0.344,0.406,0.377,0.783,3
999,17,@,SEA,4,0,0.323,0.384,0.354,0.737,3
1000,18,@,SEA,5,1,0.314,0.372,0.343,0.715,2
1001,19,@,SEA,5,2,0.32,0.373,0.347,0.72,2
1002,20,@,SEA,5,3,0.342,0.398,0.392,0.79,2
1003,21,@,CHW,4,1,0.337,0.391,0.386,0.777,2
1004,22,@,CHW,5,2,0.349,0.412,0.395,0.808,2
1005,23,@,CHW,5,1,0.344,0.412,0.389,0.801,2
1006,24,,LAA,4,2,0.351,0.415,0.394,0.809,2
1007,25,,LAA,5,0,0.333,0.396,0.374,0.77,2
1008,26,,LAA,4,1,0.333,0.4,0.402,0.802,2
1009,27,,OAK,4,1,0.33,0.395,0.396,0.791,2
1010,28,,OAK,5,4,0.351,0.411,0.45,0.862,2
1011,29,,OAK,4,1,0.351,0.409,0.447,0.857,2
1012,30,,NYY,4,1,0.347,0.405,0.441,0.845,2
1013,31,,NYY,4,1,0.344,0.4,0.434,0.834,2
